#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: MemLabs Lab 1
# Investigation Date: 2022-01-16-0854:41
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.111
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-08-0433:36	 Last Accessed: 2022-01-08-0433:36	 Last Modified: 2021-02-28-2153:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\MemoryDump_Lab1.raw
# File Name: MemoryDump_Lab1.raw	 File Size: 1.07 GBs	 Creation Date: 2022-01-16-0853:49	 Last Accessed: 2022-01-16-0853:50	 Last Modified: 2019-12-11-0838:17	 
# MD5: b9fec1a443907d870cb32b048bda9380	 SHA-256: 88e708413898c98351d1a5a221799fc34460dfecb20e482ca5247b0b113b8cf2	 
#
# Plugin Details
# ======================
# Plugin Name: timeliner
# Plugin Description: Creates a timeline from various artifacts in memory
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\MemoryDump_Lab1.raw" timeliner --profile=Win7SP1x64
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
2009-07-13 23:20:53 UTC+0000|[PE HEADER (exe)]| lsass.exe| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0xffe90000
2009-07-13 23:20:53 UTC+0000|[PE DEBUG]| lsass.exe| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0xffe90000
1970-01-01 00:00:00 UTC+0000|[DLL LOADTIME (exe)]| lsass.exe| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0xffe90000
2010-11-20 13:11:21 UTC+0000|[PE HEADER (dll)]| ntdll.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x77c90000
2010-11-20 09:21:38 UTC+0000|[PE DEBUG]| ntdll.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x77c90000
1970-01-01 00:00:00 UTC+0000|[DLL LOADTIME (dll)]| ntdll.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x77c90000
2009-07-14 01:32:15 UTC+0000|[PE HEADER (dll)]| profapi.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefdab0000
-|[PE DEBUG]| profapi.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefdab0000
2019-12-11 14:17:03 UTC+0000|[DLL LOADTIME (dll)]| profapi.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefdab0000
2010-11-20 13:15:33 UTC+0000|[PE HEADER (dll)]| tspkg.DLL| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefcef0000
-|[PE DEBUG]| tspkg.DLL| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefcef0000
2019-12-11 13:41:38 UTC+0000|[DLL LOADTIME (dll)]| tspkg.DLL| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefcef0000
2010-11-20 13:05:15 UTC+0000|[PE HEADER (dll)]| kernel32.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x77a70000
-|[PE DEBUG]| kernel32.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x77a70000
2019-12-11 13:41:35 UTC+0000|[DLL LOADTIME (dll)]| kernel32.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x77a70000
2009-07-14 01:28:32 UTC+0000|[PE HEADER (dll)]| IMM32.DLL| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefe0e0000
-|[PE DEBUG]| IMM32.DLL| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefe0e0000
2019-12-11 13:41:36 UTC+0000|[DLL LOADTIME (dll)]| IMM32.DLL| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefe0e0000
2009-07-14 01:30:38 UTC+0000|[PE HEADER (dll)]| msvcrt.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefe7b0000
-|[PE DEBUG]| msvcrt.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefe7b0000
2019-12-11 13:41:35 UTC+0000|[DLL LOADTIME (dll)]| msvcrt.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefe7b0000
2010-11-20 13:09:38 UTC+0000|[PE HEADER (dll)]| netjoin.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefd2f0000
-|[PE DEBUG]| netjoin.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefd2f0000
2019-12-11 13:41:37 UTC+0000|[DLL LOADTIME (dll)]| netjoin.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefd2f0000
2009-07-14 01:29:03 UTC+0000|[PE HEADER (dll)]| LPK.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefe710000
-|[PE DEBUG]| LPK.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefe710000
2019-12-11 13:41:36 UTC+0000|[DLL LOADTIME (dll)]| LPK.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefe710000
2010-11-20 13:13:16 UTC+0000|[PE HEADER (dll)]| SAMSRV.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefd520000
-|[PE DEBUG]| SAMSRV.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefd520000
2019-12-11 13:41:36 UTC+0000|[DLL LOADTIME (dll)]| SAMSRV.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefd520000
2009-07-14 01:25:13 UTC+0000|[PE HEADER (dll)]| bcrypt.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefd330000
-|[PE DEBUG]| bcrypt.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefd330000
2019-12-11 13:41:37 UTC+0000|[DLL LOADTIME (dll)]| bcrypt.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefd330000
2010-11-20 13:16:44 UTC+0000|[PE HEADER (dll)]| WINSTA.dll| Process: lsass.exe/PID: 492/PPID: 424/Process POffset: 0x3eea0580/DLL Base: 0x7fefd8e0000
